seqnames	start	end	width	strand	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea	name	annotation	description	region	distance	subregion	insideDistance	exonnumber	nexons	UTR	strand.1	geneL	codingL	Geneid	subjectHits
chr11	72353049	72354022	974	*	0.339609706881792	3.73570677569972	74949	508063	508073	11	16	0	0	4.47428294023029e-06	0.01	PDE2A	NM_001143839 NM_001146209 NM_001243784 NM_002599 NP_001137311 NP_001139681 NP_001230713 NP_002590 XM_005274040 XP_005274097	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	30	overlaps 5' UTR	-	66320	NA	5138	39948
chr19	2281919	2282928	1010	*	0.360313945561974	3.60313945561974	191600	746808	746817	10	10	0	0	6.71142441034544e-06	0.01	PEAK3	NM_198532 NP_940934	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	4	5' UTR	-	7550	NA	374872	32009
chr9	123691111	123691674	564	*	0.357257285795929	3.57257285795929	413296	426437	426446	10	15	0	0	6.71142441034544e-06	0.01	TRAF1	NM_001190945 NM_001190947 NM_005658 NP_001177874 NP_001177876 NP_005649	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	9	5' UTR	-	26780	NA	7185	57157
chr8	22408966	22409684	719	*	0.354847899363225	3.54847899363225	386822	380238	380247	10	12	0	0	6.71142441034544e-06	0.01	SORBS3	NM_001018003 NM_005775 NP_001018003 NP_005766 XM_005273371 XM_006716266 XM_017012944 XM_017012945 XM_017012946 XP_005273428 XP_006716329 XP_016868433 XP_016868434 XP_016868435	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	21	5' UTR	+	23757	NA	10174	3923
chr15	41056075	41056786	712	*	0.393940398714604	3.54546358843143	134130	625458	625466	9	14	0	0	6.71142441034544e-06	0.01	GCHFR	NM_005258 NP_005249	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	3	overlaps 5' UTR	+	3626	NA	2644	24326
chr1	19615080	19615702	623	*	0.288734413450565	3.46481296140679	6109	13816	13827	12	16	0	0	6.71142441034544e-06	0.01	AKR7A3	NM_012067 NP_036199 XM_011541046 XM_017000714 XP_011539348 XP_016856203 XR_001737055	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	7	overlaps 5' UTR	-	6223	NA	22977	19162
chr17	4688569	4689893	1325	*	0.288445349883972	3.46134419860767	164017	689620	689631	12	12	0	0	6.71142441034544e-06	0.01	VMO1	NM_001144939 NM_001144940 NM_001144941 NM_182566 NP_001138411 NP_001138412 NP_001138413 NP_872372	covers	covers	0	covers exon(s)	NA	NA	3	NA	-	1149	NA	284013	26372
chr11	75141627	75142012	386	*	0.383709365871152	3.45338429284036	75635	509437	509445	9	11	0	0	6.71142441034544e-06	0.01	KLHL35	NM_001039548 NM_173583 NP_001034637	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	6	overlaps 5' UTR	-	8236	NA	283212	26061
chr16	68269295	68270282	988	*	0.309851414252976	3.40836555678274	156625	672865	672875	11	23	0	0	6.71142441034544e-06	0.01	ESRP2	NM_001365264 NM_001365265 NM_024939 NP_001352193 NP_001352194 NP_079215 XM_005256153 XM_006721273 XP_005256210 XP_006721336	overlaps 5'	overlaps 5'	0	inside intron	-145	1	15	overlaps 5' UTR	-	7686	NA	80004	61933
chr17	7341191	7342748	1558	*	0.306641649070781	3.37305813977859	164730	691618	691628	11	23	0	0	6.71142441034544e-06	0.01	FGF11	NM_001303460 NM_004112 NP_001290389 NP_004103 NR_130156	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	5	5' UTR	+	5562	NA	2256	18472
chr17	37856149	37857070	922	*	0.33666101592597	3.3666101592597	170584	703928	703937	10	13	0	0	6.71142441034544e-06	0.01	ERBB2	NM_001005862 NM_001289936 NM_001289937 NM_001289938 NM_004448 NP_001005862 NP_001276865 NP_001276866 NP_001276867 NP_004439 NR_110535 XM_024450641 XM_024450642 XM_024450643 XP_024306409 XP_024306410 XP_024306411	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	21	overlaps 5' UTR	+	28661	NA	2064	17153
chr5	43019660	43020627	968	*	0.30424723201752	3.34671955219272	317976	239159	239169	11	11	0	0	8.94856588046058e-06	0.02	LOC648987	NR_034085 NR_034086 NR_104649 NR_104650 NR_104651	promoter	promoter	747	NA	NA	NA	1	NA	-	2763	NA	648987	53749
chr10	17269917	17270601	685	*	0.303351395833624	3.33686535416986	43777	443234	443244	11	32	0	0	8.94856588046058e-06	0.02	VIM	NM_003380 NP_003371 XM_006717500 XP_006717563	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	10	5' UTR	+	9334	NA	7431	58475
chr12	124246391	124246934	544	*	0.415953233151498	3.32762586521199	103565	564572	564579	8	12	0	0	8.94856588046058e-06	0.02	DNAH10	NM_001372106 NM_207437 NP_001359035 NP_997320 XM_011538014 XM_011538015 XM_011538016 XM_011538017 XM_011538019 XM_011538020 XM_017018960 XM_017018961 XM_017018962 XM_024448875 XP_011536316 XP_011536317 XP_011536318 XP_011536319 XP_011536321 XP_011536322 XP_016874449 XP_016874450 XP_016874451 XP_024304643	promoter	promoter	108	NA	NA	NA	78	NA	+	173225	NA	196385	16121
chr2	160918900	160919532	633	*	0.330349673785022	3.30349673785022	228187	120882	120891	10	13	0	0	8.94856588046058e-06	0.02	PLA2R1	NM_001007267 NM_001195641 NM_007366 NP_001007268 NP_001182570 NP_031392 XM_005246392 XM_011510820 XM_017003598 XM_017003599 XM_017003600 XM_017003601 XM_017003602 XP_005246449 XP_011509122 XP_016859087 XP_016859088 XP_016859089 XP_016859090 XP_016859091 XR_001738671 XR_001738672 XR_001738673 XR_922892	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	27	overlaps 5' UTR	-	116800	NA	22925	19065
chr7	29604501	29606349	1849	*	0.36377818903279	3.27400370129511	365161	338097	338105	9	20	0	0	1.11857073505757e-05	0.02	PRR15	NM_001329996 NM_001329997 NM_175887 NP_001316925 NP_001316926 NP_787083 XM_011515198 XM_011515199 XP_011513500 XP_011513501	overlaps exon upstream	inside	1074	overlaps exon upstream	0	2	2	overlaps 3'UTR	+	3484	NA	222171	18267
chr12	89743788	89744877	1090	*	0.32399565775323	3.2399565775323	97064	551611	551620	10	38	0	0	1.11857073505757e-05	0.02	DUSP6	NM_001946 NM_022652 NP_001937 NP_073143	covers exon(s)	inside	1419	covers exon(s)	0	2	2	inside transcription region	-	4459	NA	1848	15838
chr1	31845904	31846699	796	*	0.294339366957387	3.23773303653126	9641	20910	20920	11	12	0	0	1.11857073505757e-05	0.02	FABP3	NM_001320996 NM_004102 NP_001307925 NP_004093 XM_011541007 XP_011539309	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	5' UTR	-	7823	NA	2170	17511
chr17	59488443	59489343	901	*	0.35534028307181	3.19806254764629	175650	715273	715281	9	14	0	0	1.11857073505757e-05	0.02	C17orf82	NM_203425 NR_160788	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	1	overlaps 5' UTR	+	1529	NA	388407	32877
chr19	58220080	58220718	639	*	0.353956180634807	3.18560562571326	205867	781076	781084	9	12	0	0	1.11857073505757e-05	0.02	ZNF154	NM_001085384 NM_003444 NP_001078853 NR_110974 NR_110975 XR_001753757	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	3	overlaps 5' UTR	-	8769	NA	7710	59136
chr5	43039867	43040885	1019	*	0.31379790150842	3.1379790150842	317982	239188	239197	10	28	0	0	1.11857073505757e-05	0.02	ANXA2R	NM_001014279 NP_001014301	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	1	overlaps 5' UTR	-	1265	NA	389289	33073
chr6	29943188	29943677	490	*	0.303885269924821	3.03885269924821	341621	284875	284884	10	45	0	0	1.34228488206909e-05	0.03	HCG9	NM_005844 NR_028032	overlaps exon downstream	inside	296	overlaps exon downstream	0	1	3	inside transcription region	+	3285	NA	10255	4194
chr16	66612774	66613334	561	*	0.302881784855683	3.02881784855683	156068	671226	671235	10	13	0	0	1.34228488206909e-05	0.03	CMTM2	NM_001199317 NM_144673 NP_001186246 NP_653274	promoter	promoter	17	NA	NA	NA	3	NA	+	8826	NA	146225	12186
chr17	39683705	39684825	1121	*	0.299754520255609	2.99754520255609	171176	705313	705322	10	14	0	0	1.34228488206909e-05	0.03	KRT19	NM_002276 NP_002267	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	6	overlaps 5' UTR	-	4772	NA	3880	32800
chr5	121414076	121414425	350	*	0.298473273001189	2.98473273001189	325682	252543	252552	10	28	0	0	1.34228488206909e-05	0.03	LOX	NM_001178102 NM_001317073 NM_002317 NP_001171573 NP_001304002 NP_002308	promoter	promoter	21	NA	NA	NA	7	NA	-	15165	NA	4015	34182
chr11	119292885	119294102	1218	*	0.33097281959683	2.97875537637147	81350	520116	520124	9	23	0	0	1.34228488206909e-05	0.03	THY1	NM_001311160 NM_001311162 NM_001372050 NM_006288 NP_001298089 NP_001298091 NP_001358979 NP_006279 NR_164077	overlaps exon downstream	inside	144	overlaps exon downstream	0	1	4	5' UTR	-	5591	NA	7070	56626
chr2	219857793	219858271	479	*	0.330765971520049	2.97689374368044	235564	134294	134302	9	9	0	0	1.34228488206909e-05	0.03	CRYBA2	NM_057093 NM_057094 NP_476434 NP_476435	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	overlaps 5' UTR	-	3215	NA	1412	11631
chr5	87980882	87981923	1042	*	0.329881064735333	2.96892958261799	322663	247465	247473	9	15	0	0	1.34228488206909e-05	0.03	LINC00461	NR_015436 NR_024383 NR_024384 NR_152232 NR_152233 NR_152234 NR_152235 NR_152236 NR_152237 NR_152238 NR_152239 NR_152240 NR_152241 NR_152242	promoter	promoter	262	NA	NA	NA	5	NA	-	144023	NA	645323	53089
chr4	109092724	109093734	1011	*	0.292665879360313	2.92665879360313	304871	215237	215246	10	12	0	0	1.78971317609212e-05	0.04	LEF1-AS1	NR_029373 NR_029374	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	3	inside transcription region	+	4310	NA	641518	52333
chr7	130125932	130126871	940	*	0.2915947703099	2.915947703099	377844	361920	361929	10	19	0	0	1.78971317609212e-05	0.04	MEST	NM_001253900 NM_001253901 NM_001253902 NM_002402 NM_177524 NM_177525 NP_001240829 NP_001240830 NP_001240831 NP_002393 NP_803490 NP_803491 XM_011516222 XM_017012218 XM_024446764 XM_024446765 XP_011514524 XP_016867707 XP_024302532 XP_024302533	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	11	5' UTR	+	19950	NA	4232	35335
chr1	29449039	29450560	1522	*	0.323941880630148	2.91547692567133	9092	20032	20040	9	20	0	0	1.78971317609212e-05	0.04	TMEM200B	NM_001003682 NM_001171868 NP_001003682 NP_001165339 XM_011541457 XP_011539759	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	2	5' UTR	-	4484	NA	399474	33710
chr5	140810051	140810726	676	*	0.290958201957594	2.90958201957594	329031	259679	259688	10	18	0	0	1.78971317609212e-05	0.04	PCDHGA12	NM_003735 NM_032094 NP_003726 NP_115265	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	overlaps 5' UTR	+	82390	NA	26025	23577
chr17	43508418	43510310	1893	*	0.32254572389908	2.90291151509172	172514	708691	708699	9	27	0	0	1.78971317609212e-05	0.04	ARHGAP27	NM_001159330 NM_001282290 NM_174919 NM_199282 NP_001269219 NP_777579 NP_954976 XM_005257128 XM_006721745 XM_006721747 XM_006721750 XM_011524468 XM_011524469 XM_011524470 XM_011524471 XM_011524472 XM_011524473 XM_011524474 XM_017024311 XM_017024312 XM_017024313 XP_005257185 XP_006721808 XP_006721810 XP_006721813 XP_011522770 XP_011522771 XP_011522772 XP_011522773 XP_011522774 XP_011522775 XP_011522776 XP_016879800 XP_016879801 XP_016879802 XR_001752446 XR_001752447 XR_001752448 XR_002957982 XR_429873 XR_429875 XR_429876 XR_934416 XR_934417	covers exon(s)	inside	802	covers exon(s)	0	1	4	5' UTR	-	4394	NA	201176	16645
chr17	62777298	62777777	480	*	0.407919108352295	2.85543375846606	176315	716604	716610	7	14	0	0	2.23714147011515e-05	0.05	ARHGAP27P1	NR_027487	overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	3	5' UTR	-	3365	NA	146880	12319
chr11	35547074	35547708	635	*	0.339022424548697	2.71217939638957	68142	492015	492022	8	12	0	0	2.46085561712666e-05	0.06	PAMR1	NM_001001991 NM_001282675 NM_001282676 NM_015430 NP_001001991 NP_001269604 NP_001269605 NP_056245	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	9	overlaps 5' UTR	-	93800	NA	25891	23095
chr2	171568412	171569282	871	*	0.33800381397202	2.70403051177616	229440	122955	122962	8	9	0	0	2.46085561712666e-05	0.06	LINC01124	NM_001013712 NR_027433	overlaps 3'	overlaps 3'	1795	overlaps exon downstream	0	1	1	3'UTR	-	2128	NA	440925	36235
chr1	36038869	36039655	787	*	0.335532379617586	2.68425903694069	10649	23126	23133	8	15	0	0	2.90828391114969e-05	0.07	TFAP2E	NM_178548 NP_848643 XM_017001139 XP_016856628	overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	7	overlaps 5' UTR	+	21956	NA	339488	30353
chr3	51740741	51741473	733	*	0.331568120803652	2.65254496642921	274687	159806	159813	8	10	0	0	2.90828391114969e-05	0.07	GRM2	NM_000839 NM_001349116 NM_001349117 NP_000830 NP_001336045 NP_001336046 NR_146059 XM_011533635 XM_011533636 XM_011533637 XM_011533642 XM_011533643 XM_017006271 XM_024453490 XP_011531937 XP_011531938 XP_011531939 XP_011531944 XP_011531945 XP_016861760 XP_024309258	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	6	5' UTR	+	11544	NA	2912	27815
chr4	153600942	153601388	447	*	0.378504571480091	2.64953200036064	308782	221930	221936	7	13	0	0	2.90828391114969e-05	0.07	TMEM154	NM_152680 NP_689893 XM_011531716 XP_011530018 XR_001741158	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	7	overlaps 5' UTR	-	54051	NA	201799	16762
chr17	1958851	1959132	282	*	0.439129529259011	2.63477717555407	163152	687656	687661	6	55	0	0	3.35571220517272e-05	0.08	HIC1	NM_001098202 NM_006497 NP_001091672 NP_006488	promoter	promoter	472	NA	NA	NA	2	NA	+	3377	NA	3090	28851
chr17	42082036	42083306	1271	*	0.327572937271182	2.62058349816946	172002	707473	707480	8	18	0	0	3.35571220517272e-05	0.08	NAGS	NM_153006 NP_694551 XM_011524438 XM_011524439 XP_011522740 XP_011522741	covers exon(s)	inside	4	covers exon(s)	0	1	7	inside transcription region	+	4404	NA	162417	14357
chr1	151810485	151811364	880	*	0.325970699997452	2.60776559997962	23985	49596	49603	8	14	0	0	3.35571220517272e-05	0.08	C2CD4D-AS1	NR_024237 NR_152846	overlaps 5'	overlaps 5'	0	covers exon(s)	0	2	4	inside transcription region	+	5696	NA	100132111	668
chr15	75118714	75119324	611	*	0.324704441552334	2.59763553241867	140606	637975	637982	8	14	0	0	3.35571220517272e-05	0.08	CPLX3	NM_001030005 NP_001025176	overlaps exon downstream	inside	897	overlaps exon downstream	0	1	3	overlaps 5' UTR	+	6319	NA	594855	50419
chr6	29855302	29855462	161	*	0.371084900142869	2.59759430100008	341598	284732	284738	7	44	0	0	3.35571220517272e-05	0.08	HLA-H	NR_001434	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	3	5' UTR	+	1998	NA	3136	29427
chr20	50720731	50721551	821	*	0.324495605447067	2.59596484357653	249350	798465	798472	8	17	0	0	3.35571220517272e-05	0.08	ZFP64	NM_001319146 NM_018197 NM_022088 NM_199426 NM_199427 NP_001306075 NP_060667 NP_071371 NP_955458 NP_955459 XM_005260449 XM_006723822 XM_011528900 XM_017027945 XM_017027946 XM_017027947 XM_017027948 XM_017027949 XP_005260506 XP_006723885 XP_011527202 XP_016883434 XP_016883435 XP_016883436 XP_016883437 XP_016883438	inside intron	inside	472	inside intron	119	1	5	inside transcription region	-	21473	NA	55734	45747
chr20	44657637	44658225	589	*	0.368949464510561	2.58264625157393	247634	795657	795663	7	10	0	0	3.80314049919575e-05	0.08	SLC12A5	NM_001134771 NM_020708 NP_001128243 NP_065759	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	26	overlaps 5' UTR	+	30968	NA	57468	48595
chr5	141061521	141061943	423	*	0.36206953752963	2.53448676270741	329122	259915	259921	7	12	0	0	4.02685464620726e-05	0.08	ARAP3	NM_022481 NP_071926 XM_005268497 XM_005268498 XM_005268499 XM_005268500 XM_006714792 XM_011537677 XP_005268554 XP_005268555 XP_005268556 XP_005268557 XP_006714855 XP_011535979 XR_944329	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	32	5' UTR	-	28832	NA	64411	52842
chr6	29895037	29895204	168	*	0.355944745205628	2.4916132164394	341610	284815	284821	7	36	0	0	4.02685464620726e-05	0.08	HCG4B	NR_001317	promoter	promoter	1609	NA	NA	NA	1	NA	-	1059	NA	80868	63090
chr17	40575462	40575606	145	*	0.353227163633444	2.47259014543411	171513	706149	706155	7	13	0	0	4.02685464620726e-05	0.08	CAVIN1	NM_012232 NP_036364 XM_005257242 XP_005257299	promoter	promoter	124	NA	NA	NA	2	NA	-	20871	NA	284119	26431
chr16	67464331	67464829	499	*	0.352709903123092	2.46896932186165	156372	672109	672115	7	18	0	0	4.02685464620726e-05	0.08	HSD11B2	NM_000196 NP_000187	promoter	promoter	207	NA	NA	NA	5	NA	+	6418	NA	3291	29930
chr12	3862221	3862473	253	*	0.35057717739596	2.45404024177172	85594	528119	528125	7	12	0	0	4.02685464620726e-05	0.08	CRACR2A	NM_001144958 NM_001144959 NM_032680 NP_001138430 NP_116069 XM_006719021 XM_011521034 XM_011521036 XM_011521037 XM_011521038 XP_006719084 XP_011519336 XP_011519338 XP_011519339 XP_011519340	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	11	5' UTR	-	105257	NA	84766	66043
chr20	17206529	17206946	418	*	0.342613855213863	2.39829698649704	242918	786345	786351	7	18	0	0	4.02685464620726e-05	0.08	PCSK2	NM_001201528 NM_001201529 NM_002594 NP_001188457 NP_001188458 NP_002585	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	13	5' UTR	+	258470	NA	5126	39585
chr20	55841888	55842071	184	*	0.338136775840082	2.36695743088057	250055	799635	799641	7	19	0	0	4.02685464620726e-05	0.08	BMP7	NM_001719 NP_001710	promoter	promoter	181	NA	NA	NA	6	NA	-	93655	NA	655	54544
chr4	42400885	42401610	726	*	0.394237797972064	2.36542678783238	299269	205218	205223	6	24	0	0	4.02685464620726e-05	0.08	SHISA3	NM_001080505 NP_001073974	inside intron	inside	1029	inside intron	-534	1	2	inside transcription region	+	4648	NA	152573	13364
chr17	27038664	27039032	369	*	0.393545160459926	2.36127096275956	168331	699172	699177	6	17	0	0	4.02685464620726e-05	0.08	PROCA1	NM_001304949 NM_001304951 NM_001304952 NM_001304953 NM_001304954 NM_001366301 NM_001366302 NM_001366303 NM_152465 NP_001291878 NP_001291880 NP_001291881 NP_001291882 NP_001291883 NP_001353230 NP_001353231 NP_001353232 NP_689678 XM_006721723 XM_011524398 XM_011524399 XM_011524401 XP_006721786 XP_011522700 XP_011522701 XP_011522703	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	overlaps 5' UTR	-	8338	NA	147011	12339
chr11	637032	637175	144	*	0.334555606134153	2.34188924293907	62152	478739	478745	7	7	0	0	4.25056879321878e-05	0.08	DRD4	NM_000797 NP_000788	promoter	promoter	130	NA	NA	NA	4	NA	+	3400	NA	1815	15736
chr11	67141079	67141792	714	*	0.333270712578152	2.33289498804706	73198	504045	504051	7	13	0	0	4.47428294023029e-05	0.08	CLCF1	NM_001166212 NM_013246 NP_001159684 NP_037378	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	3	5' UTR	-	10009	NA	23529	21177
chr4	86395989	86396174	186	*	0.331916856027697	2.32341799219388	302901	211800	211806	7	14	0	0	4.47428294023029e-05	0.08	ARHGAP24	NM_001025616 NM_001042669 NM_001287805 NM_001346093 NM_031305 NP_001020787 NP_001036134 NP_001274734 NP_001333022 NP_112595 XM_011532300 XM_024454238 XM_024454239 XP_011530602 XP_024310006 XP_024310007	promoter	promoter	110	NA	NA	NA	10	NA	+	527539	NA	83478	64067
chr12	25055262	25055563	302	*	0.331736216727986	2.3221535170959	88833	534750	534756	7	21	0	0	4.47428294023029e-05	0.08	BCAT1	NM_001178091 NM_001178092 NM_001178093 NM_001178094 NM_005504 NP_001171562 NP_001171563 NP_001171564 NP_001171565 NP_005495 XM_017019768 XP_016875257 XR_001748835	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	11	5' UTR	-	92364	NA	586	49984
chr17	27949735	27950276	542	*	0.331039233418617	2.31727463393032	168601	699873	699879	7	9	0	0	4.47428294023029e-05	0.08	CORO6	NM_001351301 NM_001351302 NM_032854 NP_001338230 NP_001338231 NP_116243 XM_005258047 XM_005258048 XM_005258056 XM_011525385 XM_011525386 XM_011525387 XM_011525388 XM_011525389 XM_011525390 XM_011525391 XM_017025235 XM_024451009 XM_024451010 XP_005258104 XP_005258105 XP_005258113 XP_011523687 XP_011523688 XP_011523689 XP_011523690 XP_011523691 XP_011523692 XP_011523693 XP_016880724 XP_024306777 XP_024306778 XR_001752668 XR_934578 XR_934579	promoter	promoter	1294	NA	NA	NA	10	NA	-	6667	NA	84940	66427
chr6	38682647	38683221	575	*	0.330138267456717	2.31096787219702	344211	297183	297189	7	8	0	0	4.47428294023029e-05	0.08	DNAH8	NM_001206927 NM_001371 NP_001193856 NP_001362 XM_011514318 XM_011514319 XM_011514320 XM_017010325 XM_017010326 XM_017010327 XP_011512620 XP_011512621 XP_011512622 XP_016865814 XP_016865815 XP_016865816 XR_001743188 XR_926078	overlaps 5'	overlaps 5'	0	covers exon(s)	0	1	93	5' UTR	+	315457	NA	1769	15365
chr18	8367052	8367691	640	*	0.325552979698129	2.2788708578869	182574	730875	730881	7	8	0	0	5.36913952827635e-05	0.09	LOC100192426	NR_024419	promoter	promoter	20	NA	NA	NA	4	NA	-	6214	NA	100192426	933
chr3	158450208	158450590	383	*	0.412074862919211	2.06037431459606	287371	182403	182407	5	11	0	0	8.50113758643755e-05	0.11	RARRES1	NM_002888 NM_206963 NP_002879 NP_996846 XM_005247686 XP_005247743 XR_001740228	overlaps 5'	overlaps 5'	0	overlaps exon upstream	0	1	4	5' UTR	-	27835	NA	5918	50243
